T,r
176.7105,20.0372
17.2577,5.1260
18287.5529,289.0827
5.8864,2.8158
6.9663,3.0916
279.4952,25.5383
45.2749,8.8983
4.7290,2.4271
41623.7341,458.2958
1.5890,1.3115
1.1073,1.0631
6482.1676,157.5767
0.0191,0.1029
0.3642,0.5552
108.7970,15.2772
0.1958,0.3989
37467.7874,443.0565
17.1404,5.2125
127.9803,16.2044
0.1910,0.3919
1.2856,1.1760
158.1759,18.7706
62.8510,10.7840
2031.8788,79.6781
0.9970,0.9906
291.9863,26.1477
1.3918,1.1921
102.7114,14.8040
136.1547,17.2978
0.1091,0.2823
60.7844,10.6998
0.0219,0.1107
30.1706,7.1444
556.5656,38.0288
0.0516,0.1860
19268.5600,296.6628
16.1599,4.9765
19113.6322,295.9195
0.0898,0.2496
23263.6683,326.3332
0.0919,0.2535
17.4544,5.0940
19482.2594,294.8523
0.5726,0.7257
0.0309,0.1345
2281.1001,85.8406
126.0384,16.0013
37.1726,7.9612
0.0307,0.1340
280.3730,26.0785
0.2329,0.4313
17492.4403,278.2714
467.0302,34.3941
620.7949,41.2380
0.5769,0.7249
8337.7862,181.0848
50.3853,9.7512
5645.4500,148.0228
1.0246,1.0051
1266.6167,62.2917
91.7208,13.3446
0.0372,0.1510
7.3571,3.1575
0.2788,0.4789
3.6379,2.1309
5.4222,2.6182
20.3001,5.7114
130.2849,16.6133
81.0424,12.9428
0.0317,0.1394
1227.9850,59.8104
22554.2722,324.3416
3.1236,1.9488
0.2575,0.4623
53.9811,9.9414
625.9955,40.4997
411.1080,32.4526
158.3596,18.3728
0.1582,0.3475
4330.9391,124.5633
9.5020,3.7529
0.4670,0.6595
0.0665,0.2085
8.6849,3.4788
170.3521,19.3136
333.1075,28.9209
27325.3222,364.0281
0.1699,0.3685
38076.2490,442.9424
290.5249,26.4014
15.1331,4.7883
9029.4557,192.9318
529.1491,37.0561
3.1599,1.9494
8581.5705,186.2973
347.3166,29.2274
581.6159,38.4573
10306.0068,206.8804
14.0599,4.5570
303.6687,26.9072
1093.5705,56.8306
14.5063,4.7765
0.0620,0.2036
1634.3065,71.3728
0.0370,0.1503
759.1200,45.2422
12619.0592,234.0454
3.0726,1.9206
0.0835,0.2385
0.5677,0.7267
75.6575,12.0188
20038.2548,306.8104
34.3734,7.8509
0.0962,0.2612
195.0701,20.9967
926.6014,51.3773
6.1263,2.8493
773.9790,46.6508
2.1546,1.5904
2113.0169,82.9508
2.7658,1.8265
0.8060,0.8858
7840.2523,178.6758
60.9746,10.6853
1.2776,1.1344
18049.3992,287.6460
483.4966,35.9284
0.4879,0.6552
166.5578,18.7734
6862.6301,165.7415
535.4896,37.5880
0.6872,0.8042
265.2891,25.1229
165.9514,19.5098
3293.1371,108.7117
0.2479,0.4559
553.0427,38.7193
0.0275,0.1263
548.4293,37.5951
25914.1943,356.9676
